year,st_nm,heatwave_days,median_wbt
2005,Haryana,16,24.3204615
2005,Himachal Pradesh,15,11.034453
2005,Jammu & Kashmir,10,9.795356
2005,Jharkhand,41,23.467249
2005,Karnataka,23,20.56239
2005,Kerala,39,19.280516
2005,Madhya Pradesh,31,22.621744
2005,Maharashtra,28,22.157953
2005,Manipur,8,16.938334500000003
2005,Meghalaya,14,17.485843
2005,Mizoram,20,18.441685
2005,NCT of Delhi,22,23.7925245
2005,Nagaland,13,16.101706
2005,Odisha,40,23.849413
2005,Puducherry,33,20.517822
2005,Punjab,12,25.119498
2005,Rajasthan,22,24.0815905
2005,Sikkim,14,5.3802845
2005,Tamil Nadu,24,22.0271835
2005,Telangana,34,23.422024999999998
2005,Tripura,7,20.593815
2005,Uttar Pradesh,31,23.71186
2005,Uttarakhand,31,13.112765
2005,West Bengal,42,22.697670000000002
2006,Andaman & Nicobar Island,1,16.662287
2006,Andhra Pradesh,22,22.7995195
2006,Arunanchal Pradesh,24,12.124528
2006,Assam,20,20.3440965
2006,Bihar,22,23.1456175
2006,Chandigarh,35,21.948292
2006,Chhattisgarh,19,22.538893
2006,Dadara & Nagar Havelli,11,21.217958
2006,Goa,4,19.634138999999998
2006,Gujarat,19,23.399162
2006,Haryana,32,23.886702999999997
2006,Himachal Pradesh,14,11.936015000000001
2006,Jammu & Kashmir,19,10.4912
2006,Jharkhand,14,21.9205655
2006,Karnataka,33,20.417004
2006,Kerala,13,19.102776
2006,Madhya Pradesh,28,22.3989735
2006,Maharashtra,19,22.262161
2006,Manipur,7,16.687449
2006,Meghalaya,15,17.904737
2006,Mizoram,18,18.441349000000002
2006,NCT of Delhi,28,24.0820955
2006,Nagaland,15,16.468397
2006,Odisha,15,22.481754
2006,Puducherry,15,20.46375
2006,Punjab,30,23.767815499999998
2006,Rajasthan,27,23.890574
2006,Sikkim,34,5.54668355
2006,Tamil Nadu,22,21.925711
2006,Telangana,16,23.55838
2006,Tripura,21,21.112698
2006,Uttar Pradesh,19,23.04746
2006,Uttarakhand,17,13.042083
2006,West Bengal,18,21.868796500000002
2007,Andaman & Nicobar Island,21,16.756346
2007,Andhra Pradesh,26,23.0239425
2007,Arunanchal Pradesh,17,12.195159
2007,Assam,23,20.250853
2007,Bihar,27,23.69241
2007,Chandigarh,36,21.629797
2007,Chhattisgarh,31,22.409433
2007,Dadara & Nagar Havelli,22,21.665066000000003
2007,Goa,17,19.803204
2007,Gujarat,35,23.008335
2007,Haryana,19,24.370296
2007,Himachal Pradesh,18,11.5785845
2007,Jammu & Kashmir,22,10.6904235
2007,Jharkhand,19,22.67054
2007,Karnataka,28,20.435252
2007,Kerala,31,19.84356
2007,Madhya Pradesh,28,22.540066
2007,Maharashtra,28,21.9828435
2007,Manipur,12,16.620704500000002
2007,Meghalaya,21,18.022821
2007,Mizoram,14,18.5233475
2007,NCT of Delhi,21,23.878197
2007,Nagaland,17,16.709972
2007,Odisha,25,22.646084
2007,Puducherry,25,20.527905
2007,Punjab,22,23.955605
2007,Rajasthan,26,23.685504
2007,Sikkim,31,5.793493
2007,Tamil Nadu,26,21.884676
2007,Telangana,29,23.207987
2007,Tripura,13,21.219261
2007,Uttar Pradesh,15,23.780783
2007,Uttarakhand,19,12.9710865
2007,West Bengal,24,22.592755500000003
2008,Andaman & Nicobar Island,2,16.818946
2008,Andhra Pradesh,28,23.031059
2008,Arunanchal Pradesh,10,11.951241
2008,Assam,7,20.535847
2008,Bihar,31,23.264944
2008,Chandigarh,3,21.109114
2008,Chhattisgarh,11,22.520714
2008,Dadara & Nagar Havelli,18,21.138371
2008,Goa,11,19.743145
2008,Gujarat,10,22.959099000000002
2008,Haryana,1,23.928583
2008,Himachal Pradesh,22,10.640884
2008,Jammu & Kashmir,24,9.621766000000001
2008,Jharkhand,23,22.103363
2008,Karnataka,20,20.3412145
2008,Kerala,7,18.99232
2008,Madhya Pradesh,8,21.80559
2008,Maharashtra,16,21.9251165
2008,Manipur,6,15.975496
2008,Meghalaya,8,17.617265500000002
2008,Mizoram,23,18.978777
2008,NCT of Delhi,1,24.457771
2008,Nagaland,10,16.067708
2008,Odisha,34,22.527285499999998
2008,Puducherry,19,20.404984
2008,Punjab,5,22.987219
2008,Rajasthan,6,23.0413485
2008,Sikkim,11,5.276318
2008,Tamil Nadu,22,21.7051315
2008,Telangana,15,22.91768
2008,Tripura,20,21.180594
2008,Uttar Pradesh,8,22.663317
2008,Uttarakhand,14,12.9373005
2008,West Bengal,32,22.0032675
2009,Andaman & Nicobar Island,12,16.871859
2009,Andhra Pradesh,28,22.978059000000002
2009,Arunanchal Pradesh,26,11.6066085
2009,Assam,28,20.5404235
2009,Bihar,27,23.898352
2009,Chandigarh,24,22.181168
2009,Chhattisgarh,39,22.919733
2009,Dadara & Nagar Havelli,25,21.709074
2009,Goa,16,19.9527465
2009,Gujarat,28,22.9595215
2009,Haryana,34,23.8988755
2009,Himachal Pradesh,35,11.091626
2009,Jammu & Kashmir,28,10.03422375
2009,Jharkhand,29,22.562355
2009,Karnataka,27,20.773605
2009,Kerala,26,19.976003
2009,Madhya Pradesh,39,22.726364
2009,Maharashtra,28,21.8081035
2009,Manipur,32,16.565490500000003
2009,Meghalaya,35,17.595316
2009,Mizoram,26,18.4618535
2009,NCT of Delhi,36,24.027956000000003
2009,Nagaland,33,16.54527
2009,Odisha,52,23.06297
2009,Puducherry,20,20.379375500000002
2009,Punjab,29,23.740932
2009,Rajasthan,44,24.1466685
2009,Sikkim,19,5.7857738
2009,Tamil Nadu,33,21.872166
2009,Telangana,29,23.440893
2009,Tripura,30,20.7488805
2009,Uttar Pradesh,28,23.630499999999998
2009,Uttarakhand,33,13.152219
2009,West Bengal,35,22.626883
2010,Andaman & Nicobar Island,83,17.360313
2010,Andhra Pradesh,50,23.040221000000003
2010,Arunanchal Pradesh,8,12.096637999999999
2010,Assam,6,19.8398985
2010,Bihar,49,24.153288
2010,Chandigarh,24,22.7333215
