year,st_nm,heatwave_days,median_wbt
2022,Madhya Pradesh,48,22.849481500000003
2022,Maharashtra,54,22.189542
2022,Manipur,33,16.899338
2022,Meghalaya,41,17.850222
2022,Mizoram,32,18.5555485
2022,NCT of Delhi,45,24.693525
2022,Nagaland,35,16.726017
2022,Odisha,40,22.678300999999998
2022,Puducherry,8,20.075454999999998
2022,Punjab,42,24.138005
2022,Rajasthan,39,24.411068
2022,Sikkim,36,5.93097545
2022,Tamil Nadu,5,21.769484
2022,Telangana,35,23.45557
2022,Tripura,27,20.80919
2022,Uttar Pradesh,57,23.672764
2022,Uttarakhand,51,12.941623
2022,West Bengal,25,21.706438
2023,Andaman & Nicobar Island,59,17.259672
2023,Andhra Pradesh,42,23.036579
2023,Arunanchal Pradesh,42,12.1269375
2023,Assam,52,20.743788000000002
2023,Bihar,44,23.416794
2023,Chandigarh,14,22.589508000000002
2023,Chhattisgarh,38,23.073636
2023,Dadara & Nagar Havelli,21,21.871511
2023,Goa,60,20.0569645
2023,Gujarat,27,23.192175
2023,Haryana,13,23.615055
2023,Himachal Pradesh,18,11.136524999999999
2023,Jammu & Kashmir,31,9.88735
2023,Jharkhand,44,22.823663500000002
2023,Karnataka,23,20.470018
2023,Kerala,18,19.654041499999998
2023,Madhya Pradesh,26,22.5256005
2023,Maharashtra,32,22.387085
2023,Manipur,61,17.11893
2023,Meghalaya,56,18.354686
2023,Mizoram,55,18.841002
2023,NCT of Delhi,17,23.550016
2023,Nagaland,52,16.625013
2023,Odisha,42,22.871108
2023,Puducherry,34,20.355266
2023,Punjab,14,24.390346
2023,Rajasthan,12,23.5504635
2023,Sikkim,49,5.870775
2023,Tamil Nadu,21,21.597157
2023,Telangana,32,23.025758
2023,Tripura,58,21.509959000000002
2023,Uttar Pradesh,26,23.661713499999998
2023,Uttarakhand,18,12.808345
2023,West Bengal,46,22.831637999999998
