year,pop_density
2001,363.0
2002,369.0
2003,376.0
2004,382.0
2005,388.0
2006,394.0
2007,400.0
2008,406.0
2009,412.0
2010,418.0
2011,424.0
2012,430.0
2013,436.0
2014,441.0
2015,447.0
2016,452.0
2017,457.0
2018,462.0
2019,467.0
2020,472.0
2021,476.0
2022,479.0
