,state_ut,year,deaths,heatwave_days,median_wbt
149,Himachal Pradesh,2006,1,14,11.936015
150,Jharkhand,2006,37,14,21.9205655
151,Karnataka,2006,5,33,20.417004
152,Kerala,2006,0,13,19.102776
153,Madhya Pradesh,2006,45,28,22.3989735
154,Maharashtra,2006,33,19,22.262161
155,Manipur,2006,0,7,16.687449
156,Meghalaya,2006,0,15,17.904737
157,Mizoram,2006,0,18,18.441349
158,Nagaland,2006,0,15,16.468397
159,Odisha,2006,51,15,22.481754
160,Punjab,2006,69,30,23.7678155
161,Rajasthan,2006,35,27,23.890574
162,Sikkim,2006,0,34,5.54668355
163,Tamil Nadu,2006,23,22,21.925711
164,Tripura,2006,5,21,21.112698
165,Uttar Pradesh,2006,87,19,23.04746
166,Uttarakhand,2006,1,17,13.042083
167,West Bengal,2006,137,18,21.8687965
168,Chandigarh,2006,0,35,21.948292
169,Jammu & Kashmir,2006,2,19,10.4912
170,Puducherry,2006,0,15,20.46375
171,Andhra Pradesh,2007,128,26,23.0239425
172,Assam,2007,7,23,20.250853
173,Bihar,2007,58,27,23.69241
174,Chhattisgarh,2007,15,31,22.409433
175,Goa,2007,0,17,19.803204
176,Gujarat,2007,16,35,23.008335
177,Haryana,2007,75,19,24.370296
178,Himachal Pradesh,2007,0,18,11.5785845
179,Jharkhand,2007,38,19,22.67054
180,Karnataka,2007,1,28,20.435252
181,Kerala,2007,1,31,19.84356
182,Madhya Pradesh,2007,41,28,22.540066
183,Maharashtra,2007,70,28,21.9828435
184,Manipur,2007,0,12,16.620704500000002
185,Meghalaya,2007,0,21,18.022821
186,Mizoram,2007,1,14,18.5233475
187,Nagaland,2007,0,17,16.709972
188,Odisha,2007,55,25,22.646084
189,Punjab,2007,129,22,23.955605
190,Rajasthan,2007,56,26,23.685504
191,Sikkim,2007,0,31,5.793493
192,Tamil Nadu,2007,14,26,21.884676
193,Tripura,2007,0,13,21.219261
194,Uttar Pradesh,2007,108,15,23.780783
195,Uttarakhand,2007,2,19,12.9710865
196,West Bengal,2007,86,24,22.592755500000003
197,Chandigarh,2007,0,36,21.629797
198,Jammu & Kashmir,2007,1,22,10.6904235
199,Puducherry,2007,0,25,20.527905
200,Andhra Pradesh,2008,124,28,23.031059
201,Assam,2008,8,7,20.535847
202,Bihar,2008,28,31,23.264944
203,Chhattisgarh,2008,7,11,22.520714
204,Goa,2008,0,11,19.743145
205,Gujarat,2008,6,10,22.959099
206,Haryana,2008,31,1,23.928583
207,Himachal Pradesh,2008,0,22,10.640884
208,Jharkhand,2008,48,23,22.103363
209,Karnataka,2008,2,20,20.3412145
210,Kerala,2008,0,7,18.99232
211,Madhya Pradesh,2008,11,8,21.80559
212,Maharashtra,2008,30,16,21.9251165
213,Manipur,2008,0,6,15.975496
214,Meghalaya,2008,0,8,17.617265500000002
215,Mizoram,2008,0,23,18.978777
216,Nagaland,2008,0,10,16.067708
217,Odisha,2008,69,34,22.5272855
218,Punjab,2008,64,5,22.987219
219,Rajasthan,2008,29,6,23.0413485
220,Sikkim,2008,0,11,5.276318
221,Tamil Nadu,2008,15,22,21.7051315
222,Tripura,2008,9,20,21.180594
223,Uttar Pradesh,2008,80,8,22.663317
224,Uttarakhand,2008,0,14,12.9373005
225,West Bengal,2008,43,32,22.0032675
226,Chandigarh,2008,0,3,21.109114
227,Jammu & Kashmir,2008,0,24,9.621766
228,Puducherry,2008,0,19,20.404984
229,Andhra Pradesh,2009,262,28,22.978059
230,Assam,2009,0,28,20.5404235
231,Bihar,2009,46,27,23.898352
232,Chhattisgarh,2009,6,39,22.919733
233,Goa,2009,0,16,19.9527465
234,Gujarat,2009,9,28,22.9595215
235,Haryana,2009,34,34,23.8988755
236,Himachal Pradesh,2009,1,35,11.091626
237,Jharkhand,2009,50,29,22.562355
238,Karnataka,2009,9,27,20.773605
239,Kerala,2009,1,26,19.976003
240,Madhya Pradesh,2009,20,39,22.726364
241,Maharashtra,2009,79,28,21.8081035
242,Manipur,2009,0,32,16.565490500000003
243,Meghalaya,2009,0,35,17.595316
244,Mizoram,2009,0,26,18.4618535
245,Nagaland,2009,0,33,16.54527
246,Odisha,2009,101,52,23.06297
247,Punjab,2009,150,29,23.740932
248,Rajasthan,2009,55,44,24.1466685
249,Sikkim,2009,0,19,5.7857738
250,Tamil Nadu,2009,31,33,21.872166
251,Tripura,2009,10,30,20.7488805
252,Uttar Pradesh,2009,117,28,23.6305
253,Uttarakhand,2009,0,33,13.152219
254,West Bengal,2009,45,35,22.626883
255,Chandigarh,2009,0,24,22.181168
256,Jammu & Kashmir,2009,0,28,10.03422375
257,Puducherry,2009,0,20,20.3793755
258,Andhra Pradesh,2010,197,50,23.040221000000003
259,Assam,2010,1,6,19.8398985
260,Bihar,2010,95,49,24.153288
261,Chhattisgarh,2010,10,44,23.2364685
262,Goa,2010,0,38,20.136639
263,Gujarat,2010,58,58,23.525877
264,Haryana,2010,60,30,24.075016
265,Himachal Pradesh,2010,0,44,11.326829
266,Jharkhand,2010,49,45,23.23442
267,Karnataka,2010,15,50,20.8648525
268,Kerala,2010,2,44,19.8917635
269,Madhya Pradesh,2010,46,45,22.844513
270,Maharashtra,2010,137,49,22.608622
271,Manipur,2010,0,9,16.735203
272,Meghalaya,2010,0,7,17.480871
273,Mizoram,2010,0,19,18.586317
274,Nagaland,2010,0,8,16.153287
275,Odisha,2010,130,52,23.4538165
276,Punjab,2010,170,22,24.4060375
277,Rajasthan,2010,54,38,24.2924505
278,Sikkim,2010,0,14,5.57532
279,Tamil Nadu,2010,18,59,22.173073
280,Tripura,2010,12,12,20.7088125
281,Uttar Pradesh,2010,118,45,23.839104
282,Uttarakhand,2010,0,41,13.237016
283,West Bengal,2010,54,52,22.69114
284,Chandigarh,2010,0,24,22.7333215
285,Jammu & Kashmir,2010,6,28,9.707028
286,Puducherry,2010,0,39,20.73614
287,Andhra Pradesh,2011,91,18,22.7691685
288,Assam,2011,1,18,20.358186
289,Bihar,2011,86,13,22.707047
290,Chhattisgarh,2011,3,23,22.523495
291,Goa,2011,0,11,19.699638
292,Gujarat,2011,15,25,22.969507
293,Haryana,2011,30,16,23.76143
294,Himachal Pradesh,2011,1,29,11.361812
295,Jharkhand,2011,29,20,22.1389965
296,Karnataka,2011,21,3,20.235739
297,Kerala,2011,0,20,19.390708
298,Madhya Pradesh,2011,24,32,22.569572
299,Maharashtra,2011,41,24,22.0367955
300,Manipur,2011,0,14,16.569854499999998
301,Meghalaya,2011,0,18,17.93853
302,Mizoram,2011,0,10,18.09575
303,Nagaland,2011,0,10,16.5308105
304,Odisha,2011,51,14,22.378897
305,Punjab,2011,176,21,23.653803
306,Rajasthan,2011,37,30,24.146009
307,Sikkim,2011,0,12,5.349902849999999
308,Tamil Nadu,2011,1,22,21.4863165
309,Tripura,2011,6,8,20.6798715
310,Uttar Pradesh,2011,104,18,23.261324
311,Uttarakhand,2011,0,16,12.964612
312,West Bengal,2011,69,13,21.243711
313,Chandigarh,2011,0,14,22.0090265
314,Jammu & Kashmir,2011,1,35,10.436815
315,Puducherry,2011,0,24,20.1844865
316,Andhra Pradesh,2012,221,33,23.270937
317,Assam,2012,1,15,20.56868
318,Bihar,2012,166,49,24.655556
319,Chhattisgarh,2012,10,31,23.050896
320,Goa,2012,0,10,19.60804
321,Gujarat,2012,17,20,23.020652
322,Haryana,2012,95,32,24.38805
323,Himachal Pradesh,2012,2,28,10.995897
324,Jharkhand,2012,74,41,23.535534
325,Karnataka,2012,2,18,20.3212155
326,Kerala,2012,0,39,19.401196
327,Madhya Pradesh,2012,35,29,22.330605
328,Maharashtra,2012,59,25,21.929491
329,Manipur,2012,0,28,16.670602
330,Meghalaya,2012,0,19,17.551052
331,Mizoram,2012,4,20,18.7285665
332,Nagaland,2012,0,18,16.353353499999997
333,Odisha,2012,124,36,23.654375
334,Punjab,2012,155,31,24.302816
335,Rajasthan,2012,32,31,23.854033
336,Sikkim,2012,0,6,5.508435
337,Tamil Nadu,2012,0,41,21.807104
338,Tripura,2012,0,13,20.649115
339,Uttar Pradesh,2012,156,40,23.8399255
340,Uttarakhand,2012,1,39,13.168842
341,West Bengal,2012,76,57,22.704304
342,Chandigarh,2012,0,26,22.276973
343,Jammu & Kashmir,2012,0,10,10.010926
344,Puducherry,2012,0,31,20.438427
345,Andhra Pradesh,2013,418,30,23.076949
346,Assam,2013,5,26,20.3921165
347,Bihar,2013,85,15,22.506409
348,Chhattisgarh,2013,3,34,23.0077895
349,Goa,2013,0,10,20.069650000000003
350,Gujarat,2013,26,30,23.0834885
351,Haryana,2013,82,23,24.228785
352,Himachal Pradesh,2013,0,21,11.501309
